user,location,tweet,likes,RT,Source,ID,Date
gearding4ky,"Wilder, KY","RT @jlkirkpatrick: End All College Covid-19 Vaccination Mandates https://t.co/nvtnRvoe4d 
“In short, vaccination does not prevent community…",0,737,Twitter Web App,1505923054546862087,2022-03-21 15:03:29+00:00
AnnieBokova,Vancouver,"RT @charliesmithvcr: After B.C. scraps mask mandates, Premier John Horgan describes COVID-19 as an airborne disease https://t.co/4kRwbJQTx6…",0,15,Twitter for iPad,1505923053934432258,2022-03-21 15:03:29+00:00
moderatelycold,NH / MA / NY,"RT @sailorrooscout: So, not COVID-19 related, however, this is really exciting news I wanted to share. The first participant has been dosed…",0,260,Twitter for iPhone,1505923049530531845,2022-03-21 15:03:28+00:00
mama_mac48,,"RT @CTVToronto: Hospitalizations linked to COVID-19 in Ontario decreased to 551 on Monday, while the number of patients in ICU continued to…",0,3,Twitter for iPad,1505923048754528256,2022-03-21 15:03:28+00:00
kourouklides,Europistan,RT @NHpilled: HB1099 prohibits the Department of Health and Human Services from requiring proof if COVID-19 vaccination in  order to access…,0,15,Twitter Web App,1505923045512331267,2022-03-21 15:03:27+00:00
___cccam,.,"RT @soompi: Stray Kids' Bang Chan, Lee Know, And Hyunjin Test Positive For COVID-19
https://t.co/kCAZJKa3kS https://t.co/RPLcJVKCTn",0,420,Twitter for Android,1505923044900061184,2022-03-21 15:03:27+00:00
johnearldaniel,필리핀,"RT @allkpop: #StrayKids members #BangChan, #Hyunjin, and #LeeKnow all test positive for COVID-19 https://t.co/zkE5m7MyGw https://t.co/vYYyC…",0,200,Twitter for Android,1505923039971610625,2022-03-21 15:03:26+00:00
ImaniMulungi,"Kampala,Uganda","RT @FemmeForteUg: 2/3
...benefit less as the regressive tax systems continue to deepen gender inequality.
While the socio-economic crisis t…",0,4,Twitter for Android,1505923030568120331,2022-03-21 15:03:23+00:00
MACinBoston,"Boston, MA","RT @BostonConnected: #PeopleofColor were underrepresented in the study, when we know that they were disproportionately affected by #COVID19…",0,1,Twitter for iPad,1505923028609347585,2022-03-21 15:03:23+00:00
WJTV,"Jackson, MS",City of New Orleans lifts COVID-19 vaccine requirement for public places https://t.co/BumUFgElhn,1,0,SocialFlow,1505923018069004292,2022-03-21 15:03:20+00:00
harrycovair,21.262463°N 157.805003°W,"RT @ktasuperstores: Did you travel for spring break last week?
Consider getting tested before heading back to school and/or work.
💙 Regist…",0,1,Twitter for Android,1505923017037135872,2022-03-21 15:03:20+00:00
CKXS,"Wallaceburg, Ontario","While the number of new high-risk infections continues to decline in Chatham-Kent, the municipality has lost anothe… https://t.co/IuJ8xEq4ur",0,0,Twitter Web App,1505923016835932162,2022-03-21 15:03:20+00:00
GrampyMcGee,,RT @Ed49259925: Russia has broken free from the clutches of the New World Order. President Putin has ordered all COVID-19 related mandates…,0,1459,Twitter Web App,1505923016521359369,2022-03-21 15:03:20+00:00
MilitaryCon_,"Fremont Street, Des Moines","DMRegister: In the U.S., BA.2 accounted for about a quarter (23.1%) of the cases for the week ending March 12, the… https://t.co/VMl5GbCYul",0,0,IFTTT,1505923014956830733,2022-03-21 15:03:20+00:00
tinypatch2000,,@nytimes Fauci and @nytimes Why hasn't the FDA approved Novavax's highly effective &amp; safe COVID-19 vaccine?  Millio… https://t.co/zen9o1kH1A,0,0,Twitter Web App,1505923008136896521,2022-03-21 15:03:18+00:00
trishrichards3,,"RT @JujuliaGrace: The government isn’t paying attention to the rise in COVID-19 cases, hospitalisations and deaths in the UK, but it’s happ…",0,1226,Twitter Web App,1505923007629438977,2022-03-21 15:03:18+00:00
Emily77483575,,"RT @Astraea1974: Imagine saying this while at an event to commemorate those who’ve died from Covid, while 60-70 per week continue to lose t…",0,29,Twitter for Android,1505923006383759378,2022-03-21 15:03:18+00:00
bethaburrito,Exploring the Forbidden West,"RT @drvolts: Zero people who pushed this snake-oil bullshit will face any consequences -- social, professional, economic, or otherwise. htt…",0,231,Tweetbot for iΟS,1505922995809832972,2022-03-21 15:03:15+00:00
robynochka,Toronto,"RT @PearsonComms: As we all begin to recover from COVID-19, we’re announcing a call for proposals for our 2022 Uplift Fund. We’re committin…",0,2,Twitter Web App,1505922991359676417,2022-03-21 15:03:14+00:00
